year,state,totVotes,demVotes,demPct,demEV,gopVotes,gopPct,gopEV,VEP,VAP,pctNonCit,prison,probation,parole,felon,turntE,turntA,demPres,demVice,gopPres,gopVice,demPresBorn,demViceBorn,gopPresBorn,gopViceBorn,ageAll,age4,age17,age24,age44,age64,ageOld,ageMed,gsp,pop,white,black,native,asian,pacific,mult
2012,Virginia,3854490,1971820,51.2,13,1822522,47.3,0,5834057,6348827,0.071,37044,52956,1983,67094,0.660687751,0.607118449,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,8186628,5821400,1609051,43633,487436,8902,216206
2012,Washington,3125516,1755396,56.2,12,1290670,41.3,0,4821144,5329782,0.082,17271,88339,8895,72986,0.648293434,0.586424736,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,6895318,5622191,270467,127903,531530,46207,297020
2012,West Virginia,670438,238269,35.5,0,417655,62.3,5,1447048,1472642,0.008,7070,8573,2052,13666,0.463314278,0.455262039,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,1856680,1744807,65668,4207,13866,538,27594
2012,Wisconsin,3071434,1620985,52.9,10,1410966,46,0,4208757,4417273,0.032,22600,46328,20023,67177,0.729772234,0.695323563,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,5724554,5048784,374064,62296,141226,2672,95512
2012,Wyoming,249061,69286,27.8,0,170962,68.6,3,425101,441726,0.025,2204,5162,762,5702,0.585886648,0.563835953,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,576626,536567,8599,15024,5221,583,10632
2012,Totals,129067662,65899660,51.1,332,60932152,47.2,206,222381268,240957993,0.084,1566255,2342582,637410,3445233,0.580389091,0.535643829,Barack Obama,Joseph Biden,Mitt Romney,Paul Ryan,Hawaii,Pennsylvania,Michigan,Wisconsin,,,,,,,,,,313873685,244432663,41204168,3857088,16168172,706819,7504775
2008,Alabama,2099819,813479,38.7,0,1266546,60.3,9,3454510,3595708,0.022,30508,53252,8042,61155,0.607848581,0.583979289,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,170014,,,,,,,
2008,Alaska,326197,123594,37.9,0,193841,59.4,3,479429,507645,0.037,5014,6708,1732,9234,0.68038646,0.642569118,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,47912,,,,,,,
2008,Arizona,2293475,1034707,45.1,0,1230111,53.6,10,4046075,4673718,0.116,39589,82232,7534,84472,0.566839468,0.490717454,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,248888,,,,,,,
2008,Arkansas,1086617,422310,38.9,0,638017,58.7,6,2071563,2174846,0.029,14716,31169,19908,40255,0.524539683,0.499629399,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,98331,,,,,,,
2008,California,13561900,8274473,61,55,5011781,37,0,22261504,27411094,0.179,173670,0,120753,234047,0.609208614,0.494759531,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,1846757,,,,,,,
2008,Colorado,2401361,1288576,53.7,9,1073589,44.7,0,3382959,3708955,0.08,23274,0,11654,29101,0.709840409,0.647449484,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,248603,,,,,,,
2008,Connecticut,1646792,997772,60.6,7,629428,38.2,0,2471082,2725917,0.085,20661,0,2328,21825,0.666425477,0.604124043,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,216174,,,,,,,
2008,Delaware,412412,255459,61.9,3,152374,36.9,0,628200,680493,0.053,7075,17216,551,15959,0.656497931,0.60604885,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,61828,,,,,,,
2008,Dist. of Col.,265853,245800,92.5,3,17367,6.5,0,432566,481971,0.103,0,0,0,0,0.614595229,0.551595428,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,97235,,,,,,,
2008,Florida,8390744,4282074,51,27,4045624,48.2,0,12687407,14558436,0.112,102388,279760,4528,244532,0.661344276,0.576349273,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,744120,,,,,,,
2008,Georgia,3924440,1844137,47,0,2048744,52.2,15,6281872,7063638,0.073,52719,397081,23448,262984,0.624724604,0.555583398,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,397756,,,,,,,
2008,Hawaii,453568,325871,71.8,4,120566,26.6,0,930067,1036088,0.097,5955,0,0,5955,0.487672393,0.437769765,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,63847,,,,,,,
2008,Idaho,655032,236440,36.1,0,403012,61.5,4,1029416,1117842,0.049,7290,49513,3361,33727,0.636314182,0.585979056,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,52747,,,,,,,
2008,Illinois,5523051,3419673,61.9,21,2031527,36.8,0,8681138,9615700,0.092,45474,0,0,45474,0.636212787,0.574378464,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,633697,,,,,,,
2008,Indiana,2751054,1374039,49.9,11,1345648,48.9,0,4653019,4826231,0.03,28322,0,0,28322,0.591240655,0.570021203,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,254861,,,,,,,
2008,Iowa,1543662,828940,53.7,7,682379,44.2,0,2216094,2298515,0.026,8766,22958,3159,21825,0.696568828,0.671591005,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,135702,,,,,,,
2008,Kansas,1235872,514765,41.7,0,699655,56.6,6,1991759,2100084,0.042,8539,16263,4958,19150,0.62049274,0.588486937,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,122731,,,,,,,
2008,Kentucky,1826508,751985,41.2,0,1048462,57.4,8,3152629,3277617,0.022,21706,51035,12277,53362,0.579360274,0.557267063,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,156436,,,,,,,
